Cusip,Coupon,Maturity Date,Term,Series,Issue Date,Dated date CPI-U,Inflation Factor,Inflation Date,Adjusted Principal,Current CPIU,Calculated Inflation Factor
91282CCA7,0.125000,2026-04-15,5-Year,X-2026,2021-04-30,262.250270,1.23847,2026-03-20,1238.47,324.7882580645161,1.23847
912828S50,0.125000,2026-07-15,10-Year,D-2026,2016-07-29,239.701320,1.35497,2026-03-20,1354.97,324.7882580645161,1.35497
91282CDC2,0.125000,2026-10-15,5-Year,AE-2026,2021-10-29,273.257710,1.18858,2026-03-20,1188.58,324.7882580645161,1.18858
912810PS1,2.375000,2027-01-15,20-Year,TIPS of January 2027,2007-01-31,201.664520,1.61054,2026-03-20,1610.54,324.7882580645161,1.61054
912828V49,0.375000,2027-01-15,10-Year,A-2027,2017-01-31,241.559190,1.34455,2026-03-20,1344.55,324.7882580645161,1.34455
91282CEJ6,0.125000,2027-04-15,5-Year,X-2027,2022-04-29,282.346400,1.15032,2026-03-20,1150.32,324.7882580645161,1.15032
9128282L3,0.375000,2027-07-15,10-Year,D-2027,2017-07-31,244.618390,1.32773,2026-03-20,1327.73,324.7882580645161,1.32773
91282CFR7,1.625000,2027-10-15,5-Year,AE-2027,2022-10-31,296.228580,1.09641,2026-03-20,1096.41,324.7882580645161,1.09641
912810PV4,1.750000,2028-01-15,20-Year,TIPS of January 2028,2008-01-31,209.496450,1.55033,2026-03-20,1550.33,324.7882580645161,1.55033
9128283R9,0.500000,2028-01-15,10-Year,A-2028,2018-01-31,246.665710,1.31671,2026-03-20,1316.71,324.7882580645161,1.31671
912810FD5,3.625000,2028-04-15,30-Year,TIPS of April 2028,1998-04-15,161.740000,2.00809,2026-03-20,2008.09,324.7882580645161,2.00809
91282CGW5,1.250000,2028-04-15,5-Year,X-2028,2023-04-28,299.949330,1.08281,2026-03-20,1082.81,324.7882580645161,1.08281
912828Y38,0.750000,2028-07-15,10-Year,D-2028,2018-07-31,251.016580,1.29389,2026-03-20,1293.89,324.7882580645161,1.29389
91282CJH5,2.375000,2028-10-15,5-Year,AE-2028,2023-10-31,306.293900,1.06038,2026-03-20,1060.38,324.7882580645161,1.06038
912810PZ5,2.500000,2029-01-15,20-Year,TIPS of January 2029,2009-01-30,214.699710,1.51276,2026-03-20,1512.76,324.7882580645161,1.51276
9128285W6,0.875000,2029-01-15,10-Year,A-2029,2019-01-31,252.502480,1.28628,2026-03-20,1286.28,324.7882580645161,1.28628
912810FH6,3.875000,2029-04-15,30-Year,TIPS of April 2029,1999-04-15,164.393330,1.97568,2026-03-20,1975.68,324.7882580645161,1.97568
